pair,b_lo,b_hi,instrument,population,regime,V_lo,R
empty -> B0_half,empty,B0_half,ap,0.25,rare-first,0.0142511619659063,0.2586562397104424
empty -> B0,empty,B0,ap,0.25,rare-first,0.0142511619659063,0.26542217625557296
empty -> B0+g,empty,B0+g,ap,0.25,rare-first,0.0142511619659063,0.47936209091315696
B0_half -> B0,B0_half,B0,ap,0.25,rare-first,0.0105650100003005,0.00912658459887472
B0_half -> B0+g,B0_half,B0+g,ap,0.25,rare-first,0.0105650100003005,0.29771054000172636
B0 -> B0+g,B0,B0+g,ap,0.25,rare-first,0.0104685875427448,0.291242000156021
empty -> B0_half,empty,B0_half,ap,0.5,random,0.0305532291391034,0.33285587305739495
empty -> B0,empty,B0,ap,0.5,random,0.0305532291391034,0.3358994591860992
empty -> B0+g,empty,B0+g,ap,0.5,random,0.0305532291391034,0.6158222007426789
B0_half -> B0,B0_half,B0,ap,0.5,random,0.0203834073792845,0.004562111852280615
B0_half -> B0+g,B0_half,B0+g,ap,0.5,random,0.0203834073792845,0.42414572242742354
B0 -> B0+g,B0,B0+g,ap,0.5,random,0.0202904159948896,0.4215065706971345
empty -> B0_half,empty,B0_half,ap,0.5,rare-first,0.0322253685093767,0.30544864925081294
empty -> B0,empty,B0,ap,0.5,rare-first,0.0322253685093767,0.31569272490991196
empty -> B0+g,empty,B0+g,ap,0.5,rare-first,0.0322253685093767,0.5693444495155278
B0_half -> B0,B0_half,B0,ap,0.5,rare-first,0.0223821732265779,0.014749198382594919
B0_half -> B0+g,B0_half,B0+g,ap,0.5,rare-first,0.0223821732265779,0.37995146072361685
B0 -> B0+g,B0,B0+g,ap,0.5,rare-first,0.0220520541134255,0.3706693379406537
empty -> B0_half,empty,B0_half,ap,0.75,rare-first,0.0427854979606264,0.3215300796557842
empty -> B0,empty,B0,ap,0.75,rare-first,0.0427854979606264,0.3299785326336143
empty -> B0+g,empty,B0+g,ap,0.75,rare-first,0.0427854979606264,0.5888333313689906
B0_half -> B0,B0_half,B0,ap,0.75,rare-first,0.0290286733932338,0.012452214496913805
B0_half -> B0+g,B0_half,B0+g,ap,0.75,rare-first,0.0290286733932338,0.393979517290306
B0 -> B0+g,B0,B0+g,ap,0.75,rare-first,0.0286672021255804,0.38633806727542896
empty -> B0_half,empty,B0_half,ap,1.0,full,0.0465066848925779,0.341213812855954
empty -> B0,empty,B0,ap,1.0,full,0.0465066848925779,0.3505091915906118
empty -> B0+g,empty,B0+g,ap,1.0,full,0.0465066848925779,0.5978680987568443
B0_half -> B0,B0_half,B0,ap,1.0,full,0.030637961617091,0.014109856757857808
B0_half -> B0+g,B0_half,B0+g,ap,1.0,full,0.030637961617091,0.38958662295809776
B0 -> B0+g,B0,B0+g,ap,1.0,full,0.0302056643673211,0.3808505123760223
empty -> B0_half,empty,B0_half,auc,0.25,rare-first,0.1261149848431207,0.4941547458153498
empty -> B0,empty,B0,auc,0.25,rare-first,0.1261149848431207,0.5002296902334475
empty -> B0+g,empty,B0+g,auc,0.25,rare-first,0.1261149848431207,0.6139884289383841
B0_half -> B0,B0_half,B0,auc,0.25,rare-first,0.0637946665644617,0.012009491772122405
B0_half -> B0+g,B0_half,B0+g,auc,0.25,rare-first,0.0637946665644617,0.23689790925525034
B0 -> B0+g,B0,B0+g,auc,0.25,rare-first,0.0630285250412505,0.22762204253004614
empty -> B0_half,empty,B0_half,auc,0.5,random,0.2452569557273722,0.37807167414195353
empty -> B0,empty,B0,auc,0.5,random,0.2452569557273722,0.3660769809509091
empty -> B0+g,empty,B0+g,auc,0.5,random,0.2452569557273722,0.6236982690845359
B0_half -> B0,B0_half,B0,auc,0.5,random,0.1525322478805656,-0.019286295047738822
B0_half -> B0+g,B0_half,B0+g,auc,0.5,random,0.1525322478805656,0.39494357264352353
B0 -> B0+g,B0,B0+g,auc,0.5,random,0.155474029817485,0.406392070318047
empty -> B0_half,empty,B0_half,auc,0.5,rare-first,0.2792733528945056,0.378056434759126
empty -> B0,empty,B0,auc,0.5,rare-first,0.2792733528945056,0.38658940089908445
empty -> B0+g,empty,B0+g,auc,0.5,rare-first,0.2792733528945056,0.6052339911605483
B0_half -> B0,B0_half,B0,auc,0.5,rare-first,0.1736922647759816,0.013719839896814023
B0_half -> B0+g,B0_half,B0+g,auc,0.5,rare-first,0.1736922647759816,0.3652703703324566
B0 -> B0+g,B0,B0+g,auc,0.5,rare-first,0.1713092347119401,0.356440841716681
empty -> B0_half,empty,B0_half,auc,0.75,rare-first,0.3658114876974819,0.34115856593478755
empty -> B0,empty,B0,auc,0.75,rare-first,0.3658114876974819,0.34736118137546634
empty -> B0+g,empty,B0+g,auc,0.75,rare-first,0.3658114876974819,0.5774477007050383
B0_half -> B0,B0_half,B0,auc,0.75,rare-first,0.2410117651521378,0.009414428297879196
B0_half -> B0+g,B0_half,B0+g,auc,0.75,rare-first,0.2410117651521378,0.35864340424415786
B0 -> B0+g,B0,B0+g,auc,0.75,rare-first,0.2387427771701677,0.3525480139451248
empty -> B0_half,empty,B0_half,auc,1.0,full,0.3938026203699606,0.34035900125004925
empty -> B0,empty,B0,auc,1.0,full,0.3938026203699606,0.3469311966319545
empty -> B0+g,empty,B0+g,auc,1.0,full,0.3938026203699606,0.5752401738454918
B0_half -> B0,B0_half,B0,auc,1.0,full,0.2597683538111885,0.00996329123623274
B0_half -> B0+g,B0_half,B0+g,auc,1.0,full,0.2597683538111885,0.3560742480236262
B0 -> B0+g,B0,B0+g,auc,1.0,full,0.2571802060482109,0.3495940642641151
empty -> B0_half,empty,B0_half,brier_skill,0.5,random,0.1273231168643734,-0.002465934480974541
empty -> B0,empty,B0,brier_skill,0.5,random,0.1273231168643734,-0.003423707017331079
empty -> B0+g,empty,B0+g,brier_skill,0.5,random,0.1273231168643734,0.1790238555807112
B0_half -> B0,B0_half,B0,brier_skill,0.5,random,0.1276370873284744,-0.0009554165417624549
B0_half -> B0+g,B0_half,B0+g,brier_skill,0.5,random,0.1276370873284744,0.18104334902477437
B0 -> B0+g,B0,B0+g,brier_skill,0.5,random,0.1277590339130504,0.18182504690901324
empty -> B0_half,empty,B0_half,brier_skill,0.5,rare-first,0.1396357776437179,-0.08787631952897756
empty -> B0,empty,B0,brier_skill,0.5,rare-first,0.1396357776437179,-0.08900219169865387
empty -> B0+g,empty,B0+g,brier_skill,0.5,rare-first,0.1396357776437179,-0.2533994025332358
B0_half -> B0,B0_half,B0,brier_skill,0.5,rare-first,0.1519064558576145,-0.00103492662673621
B0_half -> B0+g,B0_half,B0+g,brier_skill,0.5,rare-first,0.1519064558576145,-0.15215248280790372
B0 -> B0+g,B0,B0+g,brier_skill,0.5,rare-first,0.1520636678935547,-0.1509613222891233
empty -> B0_half,empty,B0_half,brier_skill,0.75,rare-first,0.2261500074329918,-0.053195513435559505
empty -> B0,empty,B0,brier_skill,0.75,rare-first,0.2261500074329918,-0.053976132563780865
empty -> B0+g,empty,B0+g,brier_skill,0.75,rare-first,0.2261500074329918,0.006155559569123392
B0_half -> B0,B0_half,B0,brier_skill,0.75,rare-first,0.2381801731918454,-0.0007411910877543892
B0_half -> B0+g,B0_half,B0+g,brier_skill,0.75,rare-first,0.2381801731918454,0.0563533287481236
B0 -> B0+g,B0,B0+g,brier_skill,0.75,rare-first,0.238356710213495,0.05705223322907216
empty -> B0_half,empty,B0_half,brier_skill,1.0,full,0.2589474143676253,-0.039439083477102344
empty -> B0,empty,B0,brier_skill,1.0,full,0.2589474143676253,-0.038093092634420955
empty -> B0+g,empty,B0+g,brier_skill,1.0,full,0.2589474143676253,0.04461230038456876
B0_half -> B0,B0_half,B0,brier_skill,1.0,full,0.2691600630590499,0.0012949203701084766
B0_half -> B0+g,B0_half,B0+g,brier_skill,1.0,full,0.2691600630590499,0.08086225080213916
B0 -> B0+g,B0,B0+g,brier_skill,1.0,full,0.268811522210575,0.07967049738198717
empty -> B0_half,empty,B0_half,nagelkerke,0.25,rare-first,0.0636043150180454,0.22962148442089325
empty -> B0,empty,B0,nagelkerke,0.25,rare-first,0.0636043150180454,0.21783818298695956
empty -> B0+g,empty,B0+g,nagelkerke,0.25,rare-first,0.0636043150180454,0.5148191266518896
B0_half -> B0,B0_half,B0,nagelkerke,0.25,rare-first,0.0489993977880277,-0.015295469948400475
B0_half -> B0+g,B0_half,B0+g,nagelkerke,0.25,rare-first,0.0489993977880277,0.3702045636833582
B0 -> B0+g,B0,B0+g,nagelkerke,0.25,rare-first,0.0497488666043842,0.3796924590349552
empty -> B0_half,empty,B0_half,nagelkerke,0.5,random,0.1950948258583515,0.08625558347696605
empty -> B0,empty,B0,nagelkerke,0.5,random,0.1950948258583515,0.08608608369571813
empty -> B0+g,empty,B0+g,nagelkerke,0.5,random,0.1950948258583515,0.40164074076991574
B0_half -> B0,B0_half,B0,nagelkerke,0.5,random,0.1782668078206023,-0.0001855002101056602
B0_half -> B0+g,B0_half,B0+g,nagelkerke,0.5,random,0.1782668078206023,0.34515686398724965
B0 -> B0+g,B0,B0+g,nagelkerke,0.5,random,0.1782998763509079,0.3452783149973785
empty -> B0_half,empty,B0_half,nagelkerke,0.5,rare-first,0.2362528879616348,0.07028529496907232
empty -> B0,empty,B0,nagelkerke,0.5,rare-first,0.2362528879616348,0.07181798223527025
empty -> B0+g,empty,B0+g,nagelkerke,0.5,rare-first,0.2362528879616348,0.22626470964844037
B0_half -> B0,B0_half,B0,nagelkerke,0.5,rare-first,0.2196477840439561,0.0016485565495567567
B0_half -> B0+g,B0_half,B0+g,nagelkerke,0.5,rare-first,0.2196477840439561,0.16777126771828277
B0 -> B0+g,B0,B0+g,nagelkerke,0.5,rare-first,0.2192856822509748,0.16639702607589013
empty -> B0_half,empty,B0_half,nagelkerke,0.75,rare-first,0.3498195383623656,0.06636846751113024
empty -> B0,empty,B0,nagelkerke,0.75,rare-first,0.3498195383623656,0.06462523486093064
empty -> B0+g,empty,B0+g,nagelkerke,0.75,rare-first,0.3498195383623656,0.314229040872523
B0_half -> B0,B0_half,B0,nagelkerke,0.75,rare-first,0.3266025516958044,-0.0018671527144680233
B0_half -> B0+g,B0_half,B0+g,nagelkerke,0.75,rare-first,0.3266025516958044,0.2654800793849019
B0 -> B0+g,B0,B0+g,nagelkerke,0.75,rare-first,0.3272123685367554,0.2668489842939924
empty -> B0_half,empty,B0_half,nagelkerke,1.0,full,0.3887834459414124,0.06638541596718239
empty -> B0,empty,B0,nagelkerke,1.0,full,0.3887834459414124,0.06883351959569406
empty -> B0+g,empty,B0+g,nagelkerke,1.0,full,0.3887834459414124,0.314544188193131
B0_half -> B0,B0_half,B0,nagelkerke,1.0,full,0.3629738951614372,0.00262217800619291
B0_half -> B0+g,B0_half,B0+g,nagelkerke,1.0,full,0.3629738951614372,0.26580430133600563
B0 -> B0+g,B0,B0+g,nagelkerke,1.0,full,0.3620221129967227,0.2638740480550278
B0 -> B0+g,B0,B0+g,nb_0.175,0.5,rare-first,0.0012938713410748,-1.2495812395311656
empty -> B0_half,empty,B0_half,nb_0.175,0.75,rare-first,0.0012938713410748,0.031825795644792265
empty -> B0,empty,B0,nb_0.175,0.75,rare-first,0.0012938713410748,0.031825795644792265
empty -> B0+g,empty,B0+g,nb_0.175,0.75,rare-first,0.0012938713410748,-1.2177554438861415
B0_half -> B0,B0_half,B0,nb_0.175,0.75,rare-first,0.0012526928561831,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.175,0.75,rare-first,0.0012526928561831,-1.2906574394461785
B0 -> B0+g,B0,B0+g,nb_0.175,0.75,rare-first,0.0012526928561831,-1.2906574394461785
B0_half -> B0,B0_half,B0,nb_0.175,1.0,full,0.0012678638769326,1.1333333333332964
B0_half -> B0+g,B0_half,B0+g,nb_0.175,1.0,full,0.0012678638769326,-1.4034188034189023
empty -> B0_half,empty,B0_half,nb_0.200,0.5,rare-first,0.001627091975397,0.04395604395611963
empty -> B0,empty,B0,nb_0.200,0.5,rare-first,0.001627091975397,0.04395604395611963
empty -> B0+g,empty,B0+g,nb_0.200,0.5,rare-first,0.001627091975397,-0.9230769230767908
B0_half -> B0,B0_half,B0,nb_0.200,0.5,rare-first,0.0015555714490058,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.200,0.5,rare-first,0.0015555714490058,-1.0114942528735837
B0 -> B0+g,B0,B0+g,nb_0.200,0.5,rare-first,0.0015555714490058,-1.0114942528735837
empty -> B0_half,empty,B0_half,nb_0.200,0.75,rare-first,0.001627091975397,0.021978021978121265
empty -> B0,empty,B0,nb_0.200,0.75,rare-first,0.001627091975397,0.021978021978121265
empty -> B0+g,empty,B0+g,nb_0.200,0.75,rare-first,0.001627091975397,-0.9450549450548504
B0_half -> B0,B0_half,B0,nb_0.200,0.75,rare-first,0.0015913317122013,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.200,0.75,rare-first,0.0015913317122013,-0.9887640449439254
B0 -> B0+g,B0,B0+g,nb_0.200,0.75,rare-first,0.0015913317122013,-0.9887640449439254
empty -> B0_half,empty,B0_half,nb_0.200,1.0,full,0.001627091975397,0.010989010989029935
empty -> B0,empty,B0,nb_0.200,1.0,full,0.001627091975397,0.010989010989029935
empty -> B0+g,empty,B0+g,nb_0.200,1.0,full,0.001627091975397,-1.021978021977937
B0_half -> B0,B0_half,B0,nb_0.200,1.0,full,0.0016092118437992,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.200,1.0,full,0.0016092118437992,-1.0444444444443977
B0 -> B0+g,B0,B0+g,nb_0.200,1.0,full,0.0016092118437992,-1.0444444444443977
empty -> B0_half,empty,B0_half,nb_0.225,0.5,random,0.0011950849248573,0.34942084942085805
empty -> B0,empty,B0,nb_0.225,0.5,random,0.0011950849248573,0.34942084942085805
empty -> B0+g,empty,B0+g,nb_0.225,0.5,random,0.0011950849248573,-1.1583011583011054
B0_half -> B0,B0_half,B0,nb_0.225,0.5,random,0.0007774973352836,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.225,0.5,random,0.0007774973352836,-2.3175074183975886
B0 -> B0+g,B0,B0+g,nb_0.225,0.5,random,0.0007774973352836,-2.3175074183975886
empty -> B0_half,empty,B0_half,nb_0.225,0.5,rare-first,0.0019818107151591,0.03608847497096024
empty -> B0,empty,B0,nb_0.225,0.5,rare-first,0.0019818107151591,0.03608847497096024
empty -> B0+g,empty,B0+g,nb_0.225,0.5,rare-first,0.0019818107151591,-0.7660069848661244
B0_half -> B0,B0_half,B0,nb_0.225,0.5,rare-first,0.0019102901887679,0.0
B0_half -> B0+g,B0_half,B0+g,nb_0.225,0.5,rare-first,0.0019102901887679,-0.8321256038648568
B0 -> B0+g,B0,B0+g,nb_0.225,0.5,rare-first,0.0019102901887679,-0.8321256038648568
empty -> B0_half,empty,B0_half,nb_0.225,0.75,rare-first,0.0019818107151591,0.04074505238650783
